text,range_id,score,topic_id,label
tanya donk brp ya proses utk pinjaman dana melgkpi data pencairan pengajuan sdh sebulan belm ada kejelasan tlg donk dibantu koin wor minimal ada info status pengajuan email itingta yahoo,775,0.7930912976943577,1,2
halo admin id produk no 212019fb3f dibayar ya tgl oktober sudah lunas jt lebihnya tolong ditagihkan ya sudah menunggak sudah masuk status gagal bayar terima kasih,817,0.7756799532590785,1,1
halo admin tanya id produk no 212019fb3f dibayar ya tgl oktober sudah lunas jt lebihnya tolong ditagihkan ya sudah menunggak sudah masuk status gagal bayar,916,0.7650481487607114,1,1
halo admin tanya id produk no 212019fb3f 212019c0b0 dibayar ya tgl oktober sudah lunas jt lebihnya tolong ditagihkan ya terima kasih,1256,0.7120913974699387,1,1
dear koin works deposit tanggal des masuk sudah hub wa email telp gak ada respon,1349,0.6977923019296085,1,1
mohon info dana jadwal pembayaran maret ada saldo ya telat bayar ya,571,0.6966668650050254,1,1
dear selamat sebentar melaporkan saldo account tiba2 terpotong sudah kroscek dgn menjumlahkan dana account p2p robolending sisa dana terpotong ntah dimana mohon dibantu ya thank you,1382,0.6659464849799633,1,1
bisa tolong reply dm respon email telp ga bisa2 mohon ditanggapi keluhan terkait peringatan pembayaran kena late fee sudah pembayaran jatuh tempo mohon ditanggapi dicek,335,0.6648409617797566,1,1
halo admin bisa log in kode otp nya terima tolong diperbaiki,863,0.6533617865239499,1,1
sudah kali deposit saldo gak bertambah sudah email sabtu ada balasan,1200,0.6533549577896256,1,1
mohon bantuannya coba email ada balasan tanggal maret pendanaan tiba2 pendanaan berubah mohon bantuannya exshiufitk,408,0.6431750409006953,1,1
halo kak akun legal blm verifikasi yah tanggal blm bisa pendanaan karna terkendala mohon bantuannya,205,0.6407229036702121,1,1
halo bpk soni mohon pastikan utk kode voucher dimasukan ya utk kode voucher tsb digit angka ya tks yuma,1632,0.6364380225283268,1,2
mohon info pembayaran terlambat bayar dimana ya ditulis sudah dibayar saldonya,549,0.6267557964680867,1,1
halo free koin dr grab utk koin tsb dpt sipnpn6yq4,26,0.6265806655621016,1,2
tlg dicek id solusi pencairan nya sudah berbulan2 progress nya,460,0.6264567750122134,1,1
to mohon balas dm sy sy sdh kali mencoba utk purchase p2p via aplikasi android sll gagal pesan error,267,0.6214965491309841,1,1
hai kak mohon maaf kendala alami ya kak bella sarankan kakak menghubungi partner ya kak kakak dibantu pengajuannya silakan menghubungi nomor customer service s45 in a1qxv53b,1580,0.6201788600324025,1,2
dear tampilan user friendly susah gimana carany menampilka detail list portfolio lupa bisa dibantu,1374,0.6086526276853664,1,1
sudah sebulan ada kejelasan tlg dibantu donk,774,0.5958849204236638,1,1
dear team mohon dicek topup saldo blm masuk dgn no invoice,1426,0.5958396040344297,1,1
sudah clear cache menguninstall nya menginstall diklik kolom nominal penarikan langsung force close aplikasi,1417,0.5957285714376076,1,1
mohon info ada pembayaran maret bayar ya,580,0.5954029990294603,1,1
sudah bisa filter pinjaman sudah alokasikan dana ya,1343,0.5953956924121899,1,2
bisa redeem voucher koin ya pas diklik blank dashboard sudah install ulang kalo via desktop gimana ya mohon solusi qkylmy2yxe,899,0.5920507633050267,1,1
dear kw bisa pendanaan koinrobo ada ya mohon dibantu terima kasih,174,0.5895315932550166,1,2
mas dave sudah portfolio ga history kosong payment schedule nol ada keuangan narik dana error ojkindonesia mohon bantuannya,1491,0.5880521249402947,1,1
halo keterangan id peminjam 212019985a sudah ada keterangan ada keterangan prosesnya sudah dimana thanks,1594,0.5861081940840746,1,1
mohon info portfolio april tertulis ada pembayaran ada pembayaran tersendat pembayarannya ya,445,0.5804883054948863,1,1
nanya kl permohonan pinjaman sudah dlm antrian brp lg k proses tawaran kontrak proses pendanaan pencairan,477,0.5693106277660137,1,2
dimana pembayaran terlambat ya terkendala sudah pembayaran terlambat ada pemberitahuannya,444,0.5591415732754331,1,1
refund langsung terefleksi saldo kas menunggu selang informasi ada refund saldo kas terupdate,1315,0.5591076142911338,1,2
sd setup autopurchase acct status sdh on tdk dgn spt pakai do android mohon penjelasan,1298,0.5506128077756575,1,2
halo kampanyeku januari ada progres ya statusnya upcoming mulu mohon bantuannya terimakasih kupqpavhlw,875,0.5506124068448773,1,2
help sudah proses login step tunggu otp ada otp diterima,1532,0.5432489382841615,1,1
sudah dm ya tlg dibantu email support blm dijwb,839,0.5386046967340167,1,2
halo tny utk opsi jatuh tempo aro autowithdraw bisa diatur dmn ya aro nya pokok pinjaman bisa diatur hny pinjaman ada biaya utk hasil bunga pinjaman dihasilkan thanks ya,1316,0.5344570280542557,1,1
halo min sudah transfer des kmrn tp dananya masuk email konfirmasi sudah bbrp kali kirim mohon bantuannya,1429,0.5277636266076322,1,1
mohon penjelasan detil id pinjaman 2120190e41 2120193c23 id pinjaman sdh status terlambat bayar berbulan2 ada fee keterlambatan berubah status jdi jatuh tempo september fee keterlambatan nol,279,0.5203261182745159,1,1
terima kasih sudah terselesaikan malui email support,950,0.5150700824802269,1,2
ultra voucher kak voucher ada ya,897,0.5150150241508485,1,2
utk proses verifikasi legal ya sdh pending thx,265,0.514990374475927,1,2
portfolio berkurang tiba2 kejelasan cashflow fraud penipuan glitch aplikasi,952,0.5149573053185152,1,1
tnya porto ada already paid partially kira2 pelunasan nya max brp ya sudah indikatornya msih warna orange,1681,0.5149349159613532,1,1
thx admin sudah bisa gunain uninstal instal lg,1455,0.5148525144109519,1,2
sudah paham skrg terima kasih,893,0.514541820637884,1,2
top up pinjaman blm ada balasan email,1493,0.5145066891060002,1,1
halo ada masukan kritik sarankah pembayaran cicilan hambatan teman teman kasih mimin kritik saran keberatan dm,60,0.5138921414429339,1,2
halo kampanyeku ya februari statusnya mohon bantuannya terimakasih dmj9v5hfsb,850,0.5131320876754644,1,1
trima kasih sofiesyarief utk saran santara nya ekamiauw utk saran teman2 smua sudah cek smua tulisan stevansainsuno blogspot perjalanan berputar bikin psk bcmjcgksbk,198,0.5123848372807704,1,2
daftar sadar ada kesalahan penulisan email tulisan konfirmasi email bisa mengganti email,1680,0.5123427679391441,1,1
terima kasih teman teman sudah pakai kode referal semoga semangat yaaa investasi nyaa kode referal koin works jenius bibit bisa lihat tweets terima kasih reksadana mulaiajadulu kodereferal bibit,1571,0.5116779032259912,1,2
mandirifiesta selamat sore utk redeem kode utk dimasukkan website ya coba masukkan angka e voucher bisa tks vlni2jhe2t,1639,0.5109256857373102,1,2
depo des skrg blm masuk respon laporan slalu diteruskan prosesnya skrg gak ada bukti tindakan dm email mrk masuk sdh berlatih mngiklaskan,1321,0.5083165595385062,1,1
tanya ada pendanaan gagal bayar sudah ada pembayaran berturut2 dianggap gagal bayar dikembalikan dana provision fund ya mohon penjelasannya thanks,231,0.5075049158329289,1,1
keren feedback pengguna didengarkan perbaikannya langsung diimplementasikan a l jadwal status pembayaran peminjaman langsung muncul klausul perjanjian acara moneytalks dibenahi mantap,1682,0.5016475547707983,1,2
ada statusnya dibayar april mei ada pembayaran bisa dibantu ya,443,0.4948151299160893,1,1
pagi tanya sudah reinstall dibuka stuck logo koin hilang mohon solusinya thanks,1521,0.4902502090990421,1,1
dear bisa mengakses dati aplikasi sdh install ulang,1456,0.489925419889422,1,1
sudah seminggu pengajuan pinjaman proses ya bu,849,0.4851109457767392,1,2
dear pinjaman npl investasi koin ga ada provision fundnya ya komplain ui tampilannya ga transparan scrolling pinjaman muncul tampilan,1224,0.4777314252525218,1,1
pinjaman product id 72019eb8b dibayar sudah complaint email sudah ada email jawabannya ngambang peminjam kooperatif ukuruan kooperatif nunggak,1643,0.4762461532032511,1,1
dear tim laporan produk 2120193b7a status menunggu pencairan pinjaman sudah proses merugikan pendana total sudah terproses pinjamannya,1676,0.4738809729210866,1,1
ya bisa respon sebelibet gini sekedar status deposit diproses sudah minggu cek h120ebigoo,1340,0.4736492628124017,1,1
id lender no 212019fb3f 212019c0b0 id merurul gmail tgl oktober sudah lunas jt lebihnya tolong ditagihkan ya soalna sudah nunggak sesuai janji iklan refund dana,1245,0.4731397827269101,1,1
ilmu relasi acara dialokal diselenggarakan alfatrex tema logistik lancar bisa cuan bertempat sinou cafe melawai jaksel besok tanggal maret free entry free snacks e7fgmvnbjo,773,0.4717303447790741,1,2
gak bisa masuk akun sy bisa dibantu,1537,0.4694864579612175,1,1
iya mohon dipercepat prosesnya ya terima kasih,1291,0.4681747766994178,1,2
saham dapet tempo mas ayo bingung,973,0.4674951597988384,1,2
halo teman teman penelitian responden pengguna fintech p2p lending surveymonkey r fcn82mx ada voucher ovo dana gopay rp rb u orang beruntung terima kasih kesediaan stay safe dirumahaja newnormal vkkjsytfmk,330,0.46722646475107393,1,2
ada perubahan signifikan portfolio ngawur history penarikan penambahan dana sudah muncul seminggu nih dapet suntikan vc kaori saison,1486,0.4652800842461225,1,1
dear team info pinjaman 212019fb01 november proses pembiayaan cair mohon dibantu follow up ya sudah meleset dijanjikan makasih ya,1593,0.4644172154447286,1,1
langsung mas install aplikasinya,1132,0.4612159425638337,1,2
halo kak mengajukan perihal sponsorship ya kak,305,0.4611638687207822,1,2
okay terima kasih kak,938,0.4610764979391826,1,2
sipp trima kasih admin langsung masuk,1424,0.4609478476259224,1,2
pilih karna enak aplikasinya bingung makek aplikasinya,1373,0.4609168835230591,1,2
uang diinvest tdk langsung tersalurkan bisa minggu jd kl dipotong tunggu tsb gak p a kl ada gagal bayar kw nya bs tiba2 merestruktur pinjamannya dgn jangka cashflow jd berkurang drastis,983,0.4580064032707639,1,1
terima kasih auto purchase nya sudah bisa terima kasih respon effort nya cs official p b73lcvcgsin igshid 1skhgoijoe2zu,1240,0.4557061641762736,1,2
sudah reinstall stopped working lemot ya tdk bisa pengecekan portfolio peminjam scheduled nya mengatasinya tks,1523,0.4541872155682329,1,1
yup order history hilang schedule repayment nol barusan team dm sih semoga bisa ditangani mengecewakan bisa cek via website applikasinya tp aplikasinya error daveseta status,1511,0.4522608989310274,1,1
ayo ikutan aplikasi masukan kode referal rs02441 spy langsung dpt koin ga lsg kasih pinjaman koin dpt kmd pelajari sdh p b7psukmhqrsd2lyzfuhoqoh6uealzgnknsq2uw0 igshid 172alaww0kcwa,1332,0.44534847524973903,1,1
min tanya sy lakukan penarikan dana tgl okt okt masuk rek sy mhn penjelasan,1694,0.4452375585977686,1,1
hai admin info pocophone f1 gk bisa buka halaman detail koin p2p k1uemhy9xo,385,0.44176623744572335,1,1
gan ya melampirkan documen tambahan via browser loading pakai wifi mohon pencerahan nya gan,418,0.4408615905599082,1,1
pengajuan proses ya ujung ditolak mohon diperbaiki biar gak php,610,0.44077595864300817,1,1
dear sla process funding pencairan peminjam ya sudah status funding process berubah do i have to wait this long x9xw45nunl,1211,0.4355580884623894,1,1
kak kode promo berlaku skrg ya mw join tpi tunggu gud timg,1367,0.4292797733142429,1,2
nya jd lemot liat schedule repayment muncul dr agustus enakan deh bisa liat bulannya dpt imbal brp outstanding brp jd emosi,1466,0.4292159037927679,1,1
member email wikananto gmail account value tiba2 berkurang 1jt apapun mohon konfirmasinya,245,0.4291594159006022,1,1
coba wd tarik dana klik kotak nominal langsung force close edit akun bank masukkan bisa ya,1438,0.4246474452859402,1,2
admin sudah perbaruan aplikasi kluarnya tampilan halaman depannya ga bisa login,1512,0.4225054687272046,1,2
sudah bisa masuk tp otp nya gak terima2 sudah resend 3x gak ada sms masuk solusinya,1539,0.421005506641021,1,1
sdh investasi mar19 ada gagal bayar skrg apr20 returnnya jd dana sy sia2 kw dipotong tolong dgn details,542,0.4208597442566265,1,1
proses kerja npl nya mengerikan sudah minggu ribut admin whatsapp e mail berinvestasi catuaries status,1270,0.4188503956435719,1,1
ojkindonesia mohon diinvestigasi kekacauan fintek minggu web aplikasi error lender bisa menarik dana data error,1490,0.4174398678741672,1,1
error ya min gak muncul list nya y0690dljey,761,0.4168446741781535,1,1
aplikasinya berat susah diakses ya portfolio nilainya,1517,0.4149496365579876,1,1
buka aplikasi mentok ya mohon bantuannya fsab3xlrfp,1449,0.4149248639711003,1,1
terima kasih informasi nya min,430,0.4148825233995196,1,2
jd error ya aplikasinya close,1467,0.4147604911006718,1,1
selamat pagi bisa akses yah,1542,0.41470139270852796,1,2
no hp tertera 62812xx tiba2 berubah verifikasi 6212xx pendaftaran kali nomor sudah dikirimkan otp wa nomor sesuai knp tiba2 no hp tsb bisa berubah,884,0.4123243305342476,1,1
link share reference nggak berfungsi mohon dicek referal daftar memasukkan kode,1409,0.4120359806334986,1,2
mandiricare halo admin penukaran fiestapoin dgn koin aplikasi menunya ga muncul nih tgl desember,1403,0.4084995161822223,1,2
halo bpk dany mohon maaf bpk item tsb tdk ditemukan dikhawatirkan item sdg tdk tersedia pengkinian kembalia ya stok sudah tersedia terinformasi banner aplikasi fiestapoin tks yuma,1668,0.4083279364831791,1,2
proses verifikasi sudah minggu verifikasi proses gimana percaya investasi platform klu penangan nya lambat,283,0.40829961739921344,1,1
iseng nyari keyword ada ngalamin mas portfolio turun pendanaan turun tolong reply,965,0.4035097482172742,1,1
keterlambatan bayar peminjam infonya dimana ya akun info terbayar saldo ceknya,548,0.4024680437373445,1,1
ada respon bisa memasukkan kode voucher layar blank dashboard bug nih aplikasinya coba simulasi kalo via web ditunggu respon,886,0.401876730441233,1,2
wishlist aq id produk no 212019fb3f dibayarkan jutanya lunas terima kasih,889,0.40146133759572,1,1
tlg dibantu uang blm masuk account cash kronologi sbb feb top up account cash feb email support krn ga reflect account feb dijwb support sudah cek rekening berkala feb sampe skrg tdk ada masuk,856,0.4004250762687216,1,1
oke sudah dm ya min mohon bantuannya terima kasih,405,0.40008808176112987,1,2
pengajuan pinjaman sudah minggu antrian,798,0.4000051226760268,1,1
admin mohon penjelasan utk mengajukan pinjaman rejecd,869,0.3995812962718824,1,2
share teman teman membutuhkan info bisa cerdasbersama cepatlulusid source investasi covid19 investasisaatpandemi strategiinvestasi ovhi21zqju,28,0.398513092095252,1,2
to cek dm nya intinya mohon dipercepatlah proses penarikan masak dah kena admin 5rb 5hari cashwagon penarikannya bebas admin realtime ojkindonesia,820,0.3980528111495117,1,2
kode voucher penukaran fiesta poin nggak valid ya sudah mohon bantuannya,1625,0.39604135106215177,1,2
terima kasih sudah install versi order history kosong schedule repayment,1453,0.3948436063644306,1,1
terima kasih kak,304,0.3938984785159917,1,2
okay terima kasih,1584,0.3937028908622753,1,2
ya kirimkan email inbox ya,556,0.3936301807571223,1,2
gimana ya progress tulisannya 1x tulisannya lunas pls explain 6c6sownxgd,1388,0.3934123246098349,1,1
sudah kenal aplikasinya bermanfaat user friendly,1111,0.3933052421457616,1,2
kerjaan ya bisa didayagunakan utk menagih utang borrower lulusan uph agent goblok2,116,0.39328260626919503,1,1
setting aplikasi memunculkan notifikasi ada calon borrowers dgn kriteria,272,0.3932222729116672,1,2
halo teman teman penelitian responden pengguna fintech p2p lending surveymonkey r fcn82mx tersedia voucher ovo dana gopay rp orang beruntung terima kasih kesediaan nya sxpwmulaxk,388,0.3925786214744181,1,2
iseng coba eh muncul kode referal hm82109 senilai 350ribu,545,0.3890754915092875,1,2
menit barusan berubah statusnya semoga mention ya admin thanks anyway,1675,0.38435866111928896,1,2
screenshot excel sudah ada excelnya kirim langsung hapus buatlah ulang ngomong manis2 cerna benedicto benedictooo,119,0.3830194570171339,1,2
halo min install ulang aplikasi koinwork android sadar no telpon register salah gagal kirim otp bisa dikoreksi min,1425,0.3799610299094333,1,1
bukti trasfer email gak ada respon gqikjihoi1,1346,0.3791957837747189,1,1
iya sudah simulasi memasukkan kode voucher pas diklik kolomnya layar blank dashboard,883,0.3759387973976141,1,1
mhn maaf ktidaknyamananya bpk dany utk voucher sdg dlm proses penyediaan re stock mhn kesediaan bpk menunggu berkenan bpk dpt pengecekan scr berkala tks said,1708,0.37521168584787545,1,2
mohon maaf ketidaknyamanannya bpk soni dpt tindaklanjuti bpk dpt mengirimkan pesan email mandiricare bankmandiri co id ya tks yuma,1631,0.37412246711489255,1,2
aaaa top up saldo tp blm bisa semoga bsk udh normal,1695,0.3720763434376032,1,1
hai nanya sbg lender ada piutang jatuh tempo sdh sebulan follow up menghubungi thanks,1585,0.3695240386400181,1,1
portfolio gw berkurang signifikan tiba2 kayaknya ada aneh i sent e mail to costumer center tolong balas jg diperbaiki kejelasan ngecek,953,0.36920045256665457,1,1
buntung sudah bunganya eh modal pokok pinjaman hilang jejak ada kejelasan nasib investasi,764,0.3688541993816301,1,1
msh bisa moneydiary talk g ya kategori tiket ada info brakhir tgl okt pk m7uaicavgy,1677,0.35908290600645393,1,1
nanya februari ada terima rupiah gm7acn17zc,746,0.3586865192781388,1,1
kemarin ga bisa buka ya muncul tampilan pohon natal,1389,0.3580041677094119,1,1
mohon dibantu sudah sent dm,740,0.3543322424172445,1,2
caranyapun mudah teman teman langsung install aplikasinya super financial bisa pemberi modal peminjam mengembangkan bisnisnya,1164,0.35237517602133683,1,2
klik portfolio force close ya,1239,0.3501501086354243,1,1
sudah diceknya saldo utuh berkurang fintech gini2,937,0.35011747380744096,1,1
dear sudah ada perkembangan,1626,0.3500440531224204,1,2
buka akun eh ada nyeletuk riba dosa,1641,0.3497104738282619,1,2
212019fb3f coruadeny gmail tolong konfirmasi secepatnya via email,1231,0.34948083396234336,1,1
sensitif portfolio berkurang tiba2 kejelasan sudah kirim e mail beserta screenshot telepon dm ada solusi disuruh nunggu sudah lapor kepolisian ojk,920,0.34946415101688594,1,1
mandirifiesta halo penukaran voucher gk ada dimenua ya,1612,0.34875173174272944,1,2
dear ngasi tau kalo tampilan enak diliat ribet gak bisa liat arus kas masuk dgn nyaman,769,0.3478552753585078,1,1
aplikasi merespon email customer service butuh berhari hri hilang ada deposit kemana progresnya sudah tgl wow nih suruh invest gagu males,1384,0.3466557301700741,1,1
